kode_deskel,deskel,jumlah_kk,indikator_A,indikator_B,indikator_C,indikator_D,indikator_E,indikator_F,indikator_G,indikator_H,indikator_I,indikator_J,indikator_K,indikator_L,indikator_M,dimensi_A,dimensi_B,dimensi_C,dimensi_D,dimensi_E,iid_desa,ikd_desa,gini_iid_rumah_tangga,interpretasi_gini
64.02.06.1008,kampung baru,1223,0.955846,0.390431,0.453802,0.865495,0.729763,0.709707,0.008585,0.011447,0.271464,0.141864,0.786999,0.936222,0.51758,0.600027,0.865495,0.719781,0.746934,0.10834,0.670557,0.329443,0.10749,Rendah
64.02.06.1009,loa tebu,1154,0.873484,0.333513,0.210572,0.777946,0.539298,0.601312,0.026863,0.018198,0.295927,0.22487,0.759965,0.863085,0.145581,0.472523,0.777946,0.545696,0.589544,0.141464,0.553812,0.446188,0.15854,Sedang
64.02.06.1010,mangkurawang,450,0.975556,0.373469,0.297778,0.875556,0.617444,0.650433,0.008889,0.005556,0.176667,0.11,0.803333,0.92,0.26,0.548934,0.875556,0.617204,0.661111,0.075278,0.619313,0.380687,0.103281,Rendah
64.02.06.1011,maluhu,1428,0.852941,0.320391,0,0.686099,0.559909,0.675584,0.065476,0.045868,0,0,0,0.870448,0,0.391111,0.686099,0.583508,0.290149,0.027836,0.446818,0.553182,0.140803,Rendah
64.02.06.1013,loa ipuh darat,1094,0.896709,0.405071,0.059415,0.75617,0.463071,0.599293,0.053016,0.037477,0.328611,0.154936,0.58958,0.769653,0.495887,0.453732,0.75617,0.493723,0.618373,0.14351,0.539246,0.460754,0.134331,Rendah
64.02.06.2012,rapak lambur,544,0.757353,0.266338,0.119485,0.686581,0.414154,0.586712,0.13511,0.05239,0.641544,0.304228,0.618566,0.788603,0.513787,0.381059,0.686581,0.456878,0.640319,0.283318,0.514681,0.485319,0.201777,Tinggi
64.02.06.2014,bendang raya,338,0.840237,0.356276,0.073964,0.712278,0.441568,0.606061,0.266272,0.060651,0.52071,0.238166,0.597633,0.773669,0.213018,0.423493,0.712278,0.481164,0.528107,0.27145,0.512942,0.487058,0.155272,Rendah
64.02.07.2001,selerong,437,0.842105,0.329558,0.160183,0.744851,0.458581,0.605537,0.016018,0.011442,0.645309,0.381007,0.716247,0.855835,0.172769,0.443949,0.744851,0.492544,0.581617,0.263444,0.538377,0.461623,0.177173,Sedang
64.02.07.2002,tanjung harapan,364,0.870879,0.316905,0.115385,0.713599,0.401786,0.664032,0.129121,0.078297,0.513736,0.298077,0.710165,0.809066,0.244505,0.43439,0.713599,0.473626,0.587912,0.254808,0.524786,0.475214,0.179502,Sedang
64.02.07.2003,beloro,684,0.850877,0.337588,0.097953,0.745249,0.425439,0.588057,0.021199,0.018275,0.233918,0.157164,0.662281,0.847222,0.371345,0.428806,0.745249,0.46448,0.626949,0.107639,0.522563,0.477437,0.168115,Sedang
64.02.07.2004,sebulu ulu,1209,0.861042,0.329552,0.128205,0.785773,0.453681,0.59789,0.002481,0.006617,0.136063,0.091811,0.643093,0.803143,0.258065,0.4396,0.785773,0.493548,0.5681,0.059243,0.524597,0.475403,0.163063,Sedang
64.02.07.2005,sebulu ilir,688,0.834302,0.339422,0.132267,0.784157,0.50814,0.630696,0.028343,0.023256,0.359012,0.233285,0.583576,0.741279,0.328488,0.435331,0.784157,0.53475,0.551114,0.160974,0.538142,0.461858,0.173347,Sedang
64.02.07.2006,segihan,619,0.840065,0.331847,0.092084,0.739903,0.425848,0.606039,0.073506,0.050081,0.421648,0.226171,0.629241,0.775444,0.609855,0.421332,0.739903,0.478729,0.671513,0.192851,0.539642,0.460358,0.169065,Sedang
64.02.07.2007,sumber sari,1799,0.834908,0.315262,0.120623,0.773902,0.47318,0.624312,0.036409,0.014175,0.47443,0.284047,0.665092,0.831851,0.355475,0.423598,0.773902,0.511705,0.617473,0.202265,0.545437,0.454563,0.171456,Sedang
64.02.07.2008,manunggal daya,1286,0.807932,0.307481,0.101089,0.730365,0.445529,0.687222,0.117418,0.017885,0.576205,0.294712,0.601866,0.74689,0.341757,0.4055,0.730365,0.513284,0.563504,0.251555,0.52448,0.47552,0.192388,Tinggi
64.02.07.2009,giri agung,775,0.747097,0.296868,0.130323,0.673548,0.431226,0.691898,0.24,0.056774,0.687742,0.535484,0.619355,0.815484,0.439355,0.391429,0.673548,0.492871,0.624731,0.38,0.527765,0.472235,0.225307,Tinggi
64.02.07.2010,senoni,460,0.804348,0.31596,0.080435,0.724457,0.462283,0.59875,0.031522,0.013043,0.43587,0.361957,0.531522,0.679348,0.447826,0.400248,0.724457,0.495163,0.552899,0.210598,0.511848,0.488152,0.197089,Tinggi
64.02.07.2011,sebulu modern,1134,0.830688,0.306742,0.055556,0.718254,0.349956,0.586716,0.048501,0.0194,0.159612,0.068342,0.473986,0.571869,0.259259,0.397662,0.718254,0.429821,0.435038,0.073964,0.459347,0.540653,0.202228,Tinggi
64.02.07.2012,sanggulan,658,0.908815,0.353743,0.101824,0.770137,0.439818,0.604197,0.067629,0.022796,0.389818,0.276596,0.724164,0.857903,0.243921,0.454794,0.770137,0.477221,0.608663,0.18921,0.54233,0.45767,0.137604,Rendah
64.02.07.2013,lekaq kidau,102,0.852941,0.333613,0.098039,0.730392,0.428431,0.66131,0.333333,0.235294,0.598039,0.495098,0.5,0.691176,0.632353,0.428198,0.730392,0.481046,0.607843,0.415441,0.548969,0.451031,0.192072,Tinggi
64.02.07.2014,mekar jaya,817,0.886169,0.321639,0.0612,0.754896,0.430845,0.657474,0.04896,0.020196,0.314565,0.228274,0.501224,0.614443,0.69645,0.423002,0.754896,0.499022,0.604039,0.152999,0.530387,0.469613,0.15759,Sedang
64.02.08.2004,loleng,682,0.865103,0.366956,0.070381,0.740103,0.460044,0.666519,0.056452,0.009531,0.302786,0.137097,0.587243,0.751466,0.582111,0.434147,0.740103,0.523754,0.640274,0.126466,0.539014,0.460986,0.149956,Rendah
64.02.08.2005,kota bangun ulu,1372,0.930758,0.340877,0.208455,0.843659,0.612536,0.703965,0.012026,0.007289,0.34949,0.162901,0.716108,0.852041,0.369898,0.493363,0.843659,0.63776,0.646016,0.132926,0.604303,0.395697,0.132381,Rendah
64.02.08.2006,kota bangun ilir,847,0.893743,0.365793,0.164109,0.813754,0.509032,0.617581,0.024203,0.005903,0.48229,0.236128,0.697166,0.812279,0.405549,0.474548,0.813754,0.537485,0.638331,0.187131,0.575952,0.424048,0.158818,Sedang
64.02.08.2007,liang,774,0.869509,0.330456,0.140827,0.805233,0.450646,0.610025,0.072997,0.029716,0.390181,0.277778,0.752584,0.851421,0.322351,0.44693,0.805233,0.499957,0.642119,0.192668,0.560723,0.439277,0.158003,Sedang
64.02.08.2008,muhuran,188,0.835106,0.35727,0.06383,0.730053,0.364628,0.566978,0.202128,0.023936,0.329787,0.162234,0.577128,0.776596,0.553191,0.418735,0.730053,0.410018,0.635638,0.179521,0.51428,0.48572,0.188511,Tinggi
64.02.08.2009,pela,148,0.831081,0.337363,0.047297,0.712838,0.384459,0.530584,0.324324,0.206081,0.641892,0.35473,0.658784,0.790541,0.040541,0.405247,0.712838,0.425056,0.496622,0.381757,0.502033,0.497967,0.149462,Rendah
64.02.08.2017,kedang murung,654,0.857798,0.324112,0.070336,0.809251,0.443196,0.582143,0.0237,0.012232,0.455657,0.244648,0.610092,0.762232,0.616208,0.417415,0.809251,0.479931,0.662844,0.18406,0.553628,0.446372,0.150279,Rendah
64.02.08.2018,kota bangun seberang,613,0.836868,0.314159,0.089723,0.785481,0.427732,0.568229,0.096248,0.017945,0.386623,0.208809,0.610114,0.700653,0.195759,0.413583,0.785481,0.460468,0.502175,0.177406,0.510035,0.489965,0.185793,Tinggi
64.02.08.2019,liang ulu,621,0.888889,0.339763,0.15942,0.814815,0.519968,0.664996,0.086151,0.02818,0.479066,0.268921,0.733494,0.878422,0.283414,0.462691,0.814815,0.562305,0.631777,0.21558,0.579751,0.420249,0.148051,Rendah
64.02.08.2020,sebelimbingan,177,0.824859,0.372162,0.073446,0.805085,0.381073,0.610472,0.271186,0.076271,0.502825,0.378531,0.658192,0.799435,0.49435,0.423489,0.805085,0.435546,0.650659,0.307203,0.555105,0.444895,0.18111,Tinggi
64.02.08.2021,sangkuliman,216,0.824074,0.322354,0.078704,0.753472,0.440741,0.671769,0.085648,0.053241,0.393519,0.206019,0.604167,0.840278,0.354167,0.408377,0.753472,0.508565,0.599537,0.184606,0.530543,0.469457,0.170154,Sedang
64.02.11.2001,muara kaman ilir,701,0.884451,0.312918,0.067047,0.762126,0.481098,0.621337,0.020685,0.017832,0.206847,0.1398,0.524251,0.722539,0.274608,0.421472,0.762126,0.520994,0.507133,0.096291,0.511154,0.488846,0.162003,Sedang
64.02.11.2002,rantau hempang,397,0.803526,0.275565,0.030227,0.68262,0.412846,0.579374,0.02267,0.008816,0.43073,0.29471,0.594458,0.748111,0.332494,0.369773,0.68262,0.459488,0.558354,0.189232,0.48559,0.51441,0.207948,Tinggi
64.02.11.2003,teratak,479,0.76618,0.297269,0.048017,0.708768,0.405637,0.606213,0.09499,0.018789,0.516701,0.372651,0.584551,0.796451,0.114823,0.370488,0.708768,0.462004,0.498608,0.250783,0.487015,0.512985,0.199322,Tinggi
64.02.11.2004,benua puhun,822,0.888078,0.317895,0.087591,0.77281,0.418431,0.59255,0.018248,0.015207,0.450122,0.405109,0.841241,0.89781,0.515815,0.431188,0.77281,0.473844,0.751622,0.222172,0.56831,0.43169,0.142906,Rendah
64.02.11.2005,muara kaman ulu,959,0.87487,0.332101,0.114703,0.747393,0.463295,0.566129,0.020855,0.014077,0.274765,0.198123,0.611575,0.83316,0.201773,0.440558,0.747393,0.489757,0.548836,0.126955,0.517402,0.482598,0.155872,Rendah
64.02.11.2006,sabintulung,857,0.828471,0.30076,0.052509,0.722287,0.345683,0.481373,0.038506,0.009918,0.331972,0.224037,0.53909,0.826721,0.474329,0.393913,0.722287,0.38837,0.61338,0.151109,0.494511,0.505489,0.17991,Tinggi
64.02.11.2007,muara siran,406,0.807882,0.291253,0.051724,0.778941,0.300246,0.522041,0.105911,0.046798,0.5,0.385468,0.442118,0.62931,0.447044,0.38362,0.778941,0.367837,0.506158,0.259544,0.491393,0.508607,0.220667,Tinggi
64.02.11.2008,tunjungan,302,0.827815,0.310639,0.016556,0.692881,0.216556,0.489939,0.062914,0.013245,0.403974,0.228477,0.589404,0.769868,0.649007,0.385003,0.692881,0.308306,0.669426,0.177152,0.482733,0.517267,0.168851,Sedang
64.02.11.2009,sedulang,425,0.856471,0.290481,0.101176,0.7,0.392824,0.527036,0.011765,0.007059,0.278824,0.201176,0.727059,0.745882,0.495294,0.416043,0.7,0.433776,0.656078,0.124706,0.509452,0.490548,0.172562,Sedang
64.02.11.2010,menamang kiri,320,0.834375,0.335737,0.059375,0.685156,0.408125,0.585939,0.039062,0.014062,0.357812,0.296875,0.514062,0.503125,0.484375,0.409829,0.685156,0.460733,0.500521,0.176953,0.483692,0.516308,0.179798,Tinggi
64.02.11.2011,menamang kanan,300,0.923333,0.359968,0.066667,0.78,0.353833,0.562481,0.03,0.035,0.451667,0.206667,0.83,0.861667,0.54,0.449989,0.78,0.415139,0.743889,0.180833,0.557386,0.442614,0.124129,Rendah
64.02.11.2012,sido mukti,894,0.691275,0.251081,0.071588,0.659396,0.429362,0.663296,0.120246,0.060962,0.552573,0.270134,0.602908,0.774049,0.520694,0.337982,0.659396,0.49588,0.63255,0.250979,0.500128,0.499872,0.231283,Tinggi
64.02.11.2013,panca jaya,934,0.744111,0.274086,0.072805,0.682548,0.421895,0.642578,0.07227,0.026767,0.367238,0.185225,0.491435,0.70182,0.360814,0.363668,0.682548,0.480318,0.518023,0.162875,0.477509,0.522491,0.216454,Tinggi
64.02.11.2014,bunga jadi,1038,0.856455,0.325234,0.092486,0.762765,0.44422,0.603945,0.096821,0.036609,0.470617,0.299615,0.711946,0.84104,0.427264,0.424725,0.762765,0.488345,0.660083,0.225915,0.54915,0.45085,0.166011,Sedang
64.02.11.2015,kupang baru,183,0.704918,0.252437,0.038251,0.801913,0.236612,0.450278,0.10929,0.065574,0.278689,0.245902,0.472678,0.60929,0.508197,0.331869,0.801913,0.298315,0.530055,0.174863,0.466606,0.533394,0.245026,Tinggi
64.02.11.2016,lebaho ulaq,361,0.933518,0.396603,0.066482,0.822715,0.420637,0.557458,0.026316,0.019391,0.211911,0.105263,0.756233,0.84349,0.477839,0.465534,0.822715,0.46422,0.692521,0.09072,0.562482,0.437518,0.120683,Rendah
64.02.11.2017,bukit jering,289,0.861592,0.353346,0.027682,0.706747,0.372664,0.491753,0.025952,0.012111,0.15917,0.041522,0.740484,0.887543,0.250865,0.414207,0.706747,0.40297,0.626298,0.059689,0.492061,0.507939,0.159111,Sedang
64.02.11.2018,liang buaya,267,0.689139,0.253723,0.044944,0.729401,0.27397,0.570103,0.058052,0.050562,0.543071,0.468165,0.539326,0.698502,0.5,0.329268,0.729401,0.371255,0.579276,0.279963,0.48277,0.51723,0.242722,Tinggi
64.02.11.2019,puan cepak,222,0.851351,0.31455,0.040541,0.717342,0.315541,0.515261,0.063063,0.006757,0.434685,0.283784,0.70045,0.864865,0.281532,0.402147,0.717342,0.383521,0.615616,0.197072,0.499407,0.500593,0.151874,Rendah
64.02.11.2020,cipari makmur,386,0.813472,0.318668,0.080311,0.71114,0.436788,0.650692,0.13342,0.05829,0.658031,0.379534,0.59715,0.84715,0.108808,0.40415,0.71114,0.496287,0.517703,0.307319,0.512352,0.487648,0.177268,Sedang
64.02.15.1001,jawa,1112,0.866007,0.337624,0.148381,0.774505,0.576529,0.671064,0.017086,0.018885,0.350719,0.097122,0.620054,0.779676,0.457734,0.450671,0.774505,0.591817,0.619155,0.120953,0.560584,0.439416,0.167498,Sedang
64.02.15.1002,pendingin,1029,0.858115,0.343263,0.082604,0.771623,0.473664,0.570136,0.057337,0.028183,0.378037,0.230321,0.741983,0.784742,0.518465,0.427994,0.771623,0.497287,0.68173,0.173469,0.553055,0.446945,0.156263,Rendah
64.02.15.1003,sanga-sanga dalam,1835,0.897548,0.381008,0.179292,0.803815,0.610436,0.635844,0.024251,0.011444,0.331335,0.204632,0.570027,0.728065,0.43406,0.485949,0.803815,0.606417,0.577384,0.142916,0.573493,0.426507,0.156183,Rendah
64.02.15.1004,sarijaya,451,0.842572,0.323057,0.146341,0.758315,0.504545,0.628268,0.131929,0.074279,0.427938,0.266075,0.727273,0.856984,0.406874,0.437324,0.758315,0.525055,0.66371,0.225055,0.559168,0.440832,0.181915,Tinggi
